City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Maragogi,BR,2020-08-21 22:00:42,-9.01,-35.22,74.12,83,84,7.63
146,Mayo,US,2020-08-21 22:00:42,38.89,-76.51,84.0,74,1,10.29
147,Concepcion Del Uruguay,AR,2020-08-21 22:00:42,-32.48,-58.24,55.0,34,0,3.4
148,Sola,VU,2020-08-21 22:00:42,-13.88,167.55,84.2,74,75,17.29
149,Buluang,PH,2020-08-21 22:00:43,13.31,123.34,77.58,87,70,3.87
150,Tautira,PF,2020-08-21 22:00:43,-17.73,-149.15,80.6,69,75,8.05
151,Yellowknife,CA,2020-08-21 22:00:40,62.46,-114.35,59.0,54,75,8.05
152,Mon,IN,2020-08-21 22:00:43,26.75,95.1,70.21,95,18,2.13
153,Karratha,AU,2020-08-21 22:00:43,-20.74,116.85,69.94,32,0,9.15
154,Fort Nelson,CA,2020-08-21 22:00:23,58.81,-122.7,59.0,87,90,9.17
155,Porto Novo,BJ,2020-08-21 21:56:22,6.5,2.6,77.0,88,20,9.17
156,Ilulissat,GL,2020-08-21 22:00:44,69.22,-51.1,51.8,40,62,1.12
157,Mar Del Plata,AR,2020-08-21 21:57:59,-38.0,-57.56,51.01,76,0,5.82
158,Laureles,US,2020-08-21 22:00:44,26.11,-97.49,97.0,55,1,17.22
159,Kapaa,US,2020-08-21 21:59:47,22.08,-159.32,84.99,69,20,12.75
160,Leningradskiy,RU,2020-08-21 22:00:45,69.38,178.42,43.59,80,100,2.75
161,Zhireken,RU,2020-08-21 22:00:45,52.82,117.31,57.07,93,100,2.28
162,Ponta Do Sol,PT,2020-08-21 22:00:46,32.67,-17.1,73.4,88,75,10.29
163,Yumen,CN,2020-08-21 22:00:46,40.28,97.2,71.46,34,100,5.86
164,Aykhal,RU,2020-08-21 22:00:46,66.0,111.5,46.4,65,98,6.71
165,Bilma,NE,2020-08-21 22:00:46,18.69,12.92,93.22,35,80,11.36
166,Puteyets,RU,2020-08-21 22:00:47,65.17,57.09,48.18,94,61,7.67
167,Leshukonskoye,RU,2020-08-21 22:00:47,64.9,45.76,53.06,81,85,3.78
168,Ahipara,NZ,2020-08-21 22:00:47,-35.17,173.17,59.9,80,0,6.69
169,Mount Gambier,AU,2020-08-21 22:00:47,-37.83,140.77,44.6,87,75,13.87
170,Wewak,PG,2020-08-21 22:00:48,-3.55,143.63,79.54,85,21,8.21
171,Haines Junction,CA,2020-08-21 22:00:48,60.75,-137.51,56.86,78,92,3.67
172,Fougamou,GA,2020-08-21 22:00:48,-1.22,10.58,75.49,74,98,4.52
173,Jos,NG,2020-08-21 22:00:48,9.92,8.9,62.71,97,81,1.74
174,Sinnamary,GF,2020-08-21 22:00:48,5.38,-52.95,79.92,80,0,11.59
175,Carutapera,BR,2020-08-21 22:00:49,-1.2,-46.02,78.53,84,12,8.28
176,Grand-Santi,GF,2020-08-21 22:00:49,4.25,-54.38,81.73,58,0,2.37
177,Bethel,US,2020-08-21 22:00:49,41.37,-73.41,84.99,45,1,10.29
178,Inuvik,CA,2020-08-21 21:58:26,68.35,-133.72,62.6,63,20,8.05
179,Etla,MX,2020-08-21 22:00:50,17.06,-96.79,80.6,42,75,2.24
180,Sur,OM,2020-08-21 22:00:50,22.57,59.53,82.67,70,100,11.5
181,Hurricane,US,2020-08-21 22:00:50,37.18,-113.29,107.01,13,0,4.0
182,Yeppoon,AU,2020-08-21 22:00:27,-23.13,150.73,53.6,71,0,6.24
183,Komsomolskiy,UZ,2020-08-21 22:00:51,40.43,71.72,71.6,46,0,9.17
184,Mahebourg,MU,2020-08-21 22:00:51,-20.41,57.7,69.8,77,40,4.7
185,Hasaki,JP,2020-08-21 22:00:51,35.73,140.83,78.01,100,75,2.24
186,Evans,US,2020-08-21 22:00:51,33.53,-82.13,84.99,69,40,8.05
187,Bathsheba,BB,2020-08-21 22:00:52,13.22,-59.52,84.2,83,40,17.22
188,La Ronge,CA,2020-08-21 22:00:52,55.1,-105.28,68.0,68,75,14.99
189,Tazovskiy,RU,2020-08-21 22:00:52,67.47,78.7,47.53,89,46,8.23
190,Kangaatsiaq,GL,2020-08-21 22:00:52,68.31,-53.46,47.93,70,0,7.52
191,Mareeba,AU,2020-08-21 21:56:54,-17.0,145.43,64.4,88,6,1.12
192,Juybar,IR,2020-08-21 22:00:53,36.64,52.91,75.06,75,0,9.31
193,Hobbs,US,2020-08-21 22:00:53,32.7,-103.14,96.01,20,5,8.05
194,Malkangiri,IN,2020-08-21 22:00:54,18.35,81.9,74.95,92,94,2.15
195,Toktogul,KG,2020-08-21 22:00:54,41.87,72.94,65.28,44,0,0.31
196,Windsor,CA,2020-08-21 22:00:54,42.3,-83.02,87.8,48,1,10.29
197,Emerald,AU,2020-08-21 22:00:54,-23.53,148.17,54.0,43,0,4.7
198,Kristiansund,NO,2020-08-21 22:00:55,63.11,7.73,60.8,87,92,14.99
199,Kampene,CD,2020-08-21 21:59:05,-3.6,26.67,71.6,86,98,1.9
200,Bell Ville,AR,2020-08-21 22:00:55,-32.63,-62.69,55.0,26,0,1.99
201,Birjand,IR,2020-08-21 22:00:55,32.87,59.22,71.6,21,0,6.93
202,Hithadhoo,MV,2020-08-21 22:00:55,-0.6,73.08,83.73,70,74,6.35
203,Klaksvik,FO,2020-08-21 22:00:56,62.23,-6.59,51.8,93,83,17.22
204,Hanchuan,CN,2020-08-21 22:00:56,30.65,113.77,77.0,94,40,4.47
205,Mnogovershinnyy,RU,2020-08-21 21:59:13,53.94,139.92,54.57,60,0,4.18
206,Mamallapuram,IN,2020-08-21 22:00:56,12.63,80.17,82.4,83,40,6.93
207,Arraial Do Cabo,BR,2020-08-21 22:00:57,-22.97,-42.03,66.2,82,90,14.99
208,Kahului,US,2020-08-21 22:00:57,20.89,-156.47,87.8,52,40,24.16
209,Alice Springs,AU,2020-08-21 22:00:57,-23.7,133.88,46.4,45,0,4.7
210,Svetlaya,RU,2020-08-21 22:00:57,46.54,138.33,62.47,67,54,6.6
211,Iqaluit,CA,2020-08-21 22:00:11,63.75,-68.51,51.8,71,75,3.36
212,Siwana,IN,2020-08-21 22:00:58,25.63,72.42,86.25,71,86,3.91
213,Pangkalanbuun,ID,2020-08-21 22:00:58,-2.68,111.62,74.89,97,99,2.66
214,Samarai,PG,2020-08-21 22:00:59,-10.62,150.67,77.56,77,99,8.3
215,Thompson,CA,2020-08-21 22:00:53,55.74,-97.86,62.6,67,75,8.05
216,Odienne,CI,2020-08-21 22:00:59,9.51,-7.57,71.91,95,98,1.39
217,Kloulklubed,PW,2020-08-21 21:57:01,7.04,134.26,75.2,94,75,10.74
218,Anqing,CN,2020-08-21 22:00:59,30.51,117.05,77.72,91,89,7.16
219,Kashmor,PK,2020-08-21 22:00:10,28.43,69.58,92.03,53,61,2.55
220,Salalah,OM,2020-08-21 22:00:59,17.02,54.09,77.0,100,75,6.93
221,Margate,GB,2020-08-21 22:01:00,51.38,1.39,66.99,75,0,4.0
222,Terrace Bay,CA,2020-08-21 22:01:00,48.78,-87.1,68.0,68,5,4.7
223,Jaisalmer,IN,2020-08-21 22:01:00,26.91,70.92,89.96,59,98,2.51
224,Baiyin,CN,2020-08-21 22:01:00,36.56,104.21,69.01,93,22,4.47
225,Ejido,VE,2020-08-21 22:01:00,8.55,-71.24,74.17,66,86,1.95
226,Severo-Kurilsk,RU,2020-08-21 22:01:01,50.68,156.12,55.09,72,38,9.69
227,Nikolskoye,RU,2020-08-21 22:01:01,59.7,30.79,62.6,63,0,4.47
228,Pevek,RU,2020-08-21 22:01:01,69.7,170.31,38.89,92,100,3.18
229,Luderitz,NA,2020-08-21 22:01:02,-26.65,15.16,71.38,20,0,13.58
230,Beloha,MG,2020-08-21 22:01:02,-25.17,45.05,60.33,82,20,7.4
231,Mugur-Aksy,RU,2020-08-21 22:01:02,50.35,90.5,47.97,63,77,6.96
232,Libertador General San Martin,AR,2020-08-21 22:01:02,-23.81,-64.79,59.0,35,11,4.18
233,Grindavik,IS,2020-08-21 22:01:02,63.84,-22.43,53.6,62,0,14.99
234,Cockburn Town,TC,2020-08-21 21:56:37,21.46,-71.14,86.0,70,40,13.87
235,Sawakin,SD,2020-08-21 22:01:03,19.11,37.33,93.58,42,41,7.9
236,Qui Nhon,VN,2020-08-21 21:56:22,13.77,109.23,76.89,82,54,4.9
237,Marzuq,YE,2020-08-21 22:01:03,14.4,46.47,85.82,38,97,6.73
238,Santa Isabel Do Rio Negro,BR,2020-08-21 22:01:03,-0.41,-65.02,87.1,51,2,2.1
239,Lavezares,PH,2020-08-21 22:01:04,12.53,124.33,80.08,84,38,6.55
240,Vanimo,PG,2020-08-21 22:01:04,-2.67,141.3,78.87,86,24,5.1
241,Broken Hill,AU,2020-08-21 22:01:04,-31.95,141.43,41.0,80,30,13.87
242,Shimoda,JP,2020-08-21 22:01:05,34.67,138.95,82.74,78,0,4.05
243,Doha,QA,2020-08-21 21:59:20,25.29,51.53,96.8,30,51,3.36
244,Jutai,BR,2020-08-21 22:01:05,-5.18,-68.9,81.82,58,27,4.83
245,Litovko,RU,2020-08-21 22:01:05,49.24,135.17,59.92,84,3,4.81
246,Koratla,IN,2020-08-21 22:01:06,18.82,78.72,74.41,87,100,11.56
247,Krasnoarmeysk,RU,2020-08-21 22:01:06,51.02,45.7,62.01,50,0,4.0
248,Paso De Carrasco,UY,2020-08-21 22:01:06,-34.86,-56.05,53.6,34,0,6.93
249,Carrick-On-Suir,IE,2020-08-21 22:01:07,52.35,-7.41,59.0,94,73,5.99
250,Dehloran,IR,2020-08-21 22:01:07,32.69,47.27,88.54,12,0,6.96
251,Tarakan,ID,2020-08-21 22:01:07,3.3,117.63,80.53,81,31,5.61
252,Saint-Paul,RE,2020-08-21 22:01:07,-21.01,55.27,68.0,64,75,8.05
253,Gramoteino,RU,2020-08-21 22:01:07,54.54,86.38,50.95,94,67,5.84
254,Buenaventura,CO,2020-08-21 22:01:08,3.88,-77.03,77.36,89,70,5.01
255,Teya,RU,2020-08-21 22:01:08,60.38,92.63,52.5,91,99,1.28
256,Krasnaya Gorbatka,RU,2020-08-21 22:01:08,55.87,41.76,53.1,95,7,5.68
257,Sept-Iles,CA,2020-08-21 22:01:08,50.2,-66.38,69.8,35,40,9.17
258,Katherine,AU,2020-08-21 22:01:09,-14.47,132.27,68.0,64,22,4.7
259,Korla,CN,2020-08-21 22:01:09,41.76,86.15,74.43,41,14,8.55
260,Bull Savanna,JM,2020-08-21 22:01:10,17.89,-77.59,82.08,70,2,12.86
261,Xichang,CN,2020-08-21 22:01:10,27.9,102.26,63.66,77,7,1.36
262,Namibe,AO,2020-08-21 22:01:10,-15.2,12.15,66.0,62,95,6.26
263,Acapulco,MX,2020-08-21 21:59:15,16.86,-99.89,86.0,74,20,2.24
264,Rudnogorsk,RU,2020-08-21 22:01:11,57.26,103.75,55.54,78,100,2.24
265,Damietta,EG,2020-08-21 22:01:11,31.42,31.81,82.4,74,0,11.41
266,Airai,TL,2020-08-21 22:01:12,-8.93,125.41,57.74,51,0,3.33
267,Cherskiy,RU,2020-08-21 22:01:12,68.75,161.3,41.63,79,100,15.68
268,Lakes Entrance,AU,2020-08-21 22:01:12,-37.88,147.98,42.01,81,35,11.3
269,San Miguel,SV,2020-08-21 22:01:12,13.48,-88.18,86.0,100,40,2.24
270,Kinsale,IE,2020-08-21 22:01:13,51.71,-8.53,57.0,93,20,13.87
271,Marang,MY,2020-08-21 22:01:13,5.21,103.21,75.2,88,40,5.82
272,Harper,LR,2020-08-21 22:01:13,4.38,-7.72,75.67,83,91,8.95
273,Sao Gabriel Da Cachoeira,BR,2020-08-21 22:01:14,-0.13,-67.09,86.52,60,81,1.63
274,Saint-Philippe,RE,2020-08-21 22:01:14,-21.36,55.77,66.2,59,20,8.05
275,Bertoua,CM,2020-08-21 22:01:14,4.58,13.68,68.43,96,75,4.9
276,Labuhan,ID,2020-08-21 22:01:14,-6.88,112.21,75.92,78,84,8.77
277,Igarka,RU,2020-08-21 22:01:15,67.47,86.58,50.18,80,52,7.07
278,Tasiilaq,GL,2020-08-21 22:01:15,65.61,-37.64,44.6,65,13,9.17
279,Ugoofaaru,MV,2020-08-21 22:01:15,5.67,73.0,81.84,73,42,3.27
280,Honningsvag,NO,2020-08-21 21:59:46,70.98,25.97,55.4,82,75,5.82
281,Nosy Varika,MG,2020-08-21 22:01:16,-20.58,48.53,66.16,90,10,3.62
282,Watsa,CD,2020-08-21 22:01:16,3.04,29.54,65.14,99,72,1.3
283,Tuatapere,NZ,2020-08-21 22:01:16,-46.13,167.68,50.0,97,24,4.0
284,Paramonga,PE,2020-08-21 22:01:16,-10.67,-77.83,63.63,74,67,8.34
285,Altay,CN,2020-08-21 22:01:16,47.87,88.12,54.37,62,94,0.85
286,Pimentel,PE,2020-08-21 22:01:17,-6.84,-79.93,66.2,68,60,18.34
287,Constitucion,CL,2020-08-21 22:01:17,-35.33,-72.42,55.8,71,0,5.48
288,Darhan,MN,2020-08-21 22:01:17,49.49,105.92,61.2,82,100,1.66
289,Manggar,ID,2020-08-21 22:01:17,-2.88,108.27,80.78,84,100,11.48
290,Nipawin,CA,2020-08-21 22:01:18,53.37,-104.0,64.4,85,90,13.87
291,Dubbo,AU,2020-08-21 22:00:59,-32.25,148.62,42.8,100,90,13.87
292,Florianopolis,BR,2020-08-21 22:00:47,-27.61,-48.5,55.99,54,20,10.29
293,Nome,US,2020-08-21 22:01:18,64.5,-165.41,55.0,81,90,6.93
294,Nouadhibou,MR,2020-08-21 21:59:22,20.93,-17.03,77.0,83,88,10.29
295,Boguchany,RU,2020-08-21 22:01:18,58.38,97.45,55.76,74,69,1.99
296,Beira,MZ,2020-08-21 22:01:19,-19.84,34.84,71.6,68,20,16.11
297,Sydney Mines,CA,2020-08-21 22:01:19,46.24,-60.22,69.01,60,90,8.05
298,Taltal,CL,2020-08-21 22:01:20,-25.4,-70.48,60.58,59,18,4.29
299,Ayan,RU,2020-08-21 22:01:20,56.45,138.17,55.38,65,65,10.13
300,Cabo San Lucas,MX,2020-08-21 22:00:46,22.89,-109.91,84.99,74,40,8.05
301,Udimskiy,RU,2020-08-21 22:01:20,61.14,45.91,49.08,92,23,5.01
