City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
215,Jiwani,PK,25.05,61.74,83.35,78,97,7.2,Clouds
216,Santa Barbara,US,34.42,-119.7,68.0,88,1,5.82,Clear
217,Yerbogachen,RU,61.28,108.01,64.26,38,0,9.82,Clear
218,Kalnibolotskaya,RU,46.01,40.46,73.17,36,0,6.29,Clear
219,Khlung,TH,12.45,102.22,95.0,70,20,10.29,Clouds
220,Chipinge,ZW,-20.19,32.62,72.91,35,0,5.37,Clear
221,Airai,TL,-8.93,125.41,72.07,48,81,8.01,Clouds
222,Ahipara,NZ,-35.17,173.17,52.56,68,24,12.66,Clouds
223,Lethem,GY,3.38,-59.8,74.8,84,48,4.81,Clouds
224,Akdepe,TM,42.06,59.38,77.0,44,0,11.41,Clear
225,Sorland,NO,67.67,12.69,50.0,76,40,11.41,Clouds
226,Solnechnyy,RU,50.72,136.63,70.83,70,81,6.78,Clouds
227,Coro,VE,11.4,-69.67,80.1,79,63,12.08,Clouds
228,Kajaani,FI,64.23,27.73,55.4,76,36,4.7,Clouds
229,Gornopravdinsk,RU,60.05,69.9,63.28,61,100,6.51,Clouds
230,Fukue,JP,32.69,128.84,82.4,83,75,19.46,Clouds
231,Aklavik,CA,68.22,-135.01,51.8,81,75,9.17,Clouds
232,Lagoa,PT,39.05,-27.98,73.72,89,21,13.8,Clouds
233,Harper,LR,4.38,-7.72,73.96,85,79,6.2,Clouds
234,Camacha,PT,33.08,-16.33,71.6,83,20,5.82,Clouds
235,Pokosnoye,RU,55.53,101.05,71.71,43,41,11.14,Clouds
236,Egvekinot,RU,66.32,-179.17,48.04,78,93,7.9,Clouds
237,Umm Lajj,SA,25.02,37.27,89.22,43,0,6.42,Clear
238,Birin,NP,26.89,88.07,73.78,90,61,5.06,Rain
239,Zdvinsk,RU,54.7,78.66,54.59,95,100,11.7,Rain
240,Jakar,BT,27.55,90.75,70.77,63,17,4.63,Rain
241,Bojonegoro,ID,-7.15,111.88,95.29,31,2,8.77,Clear
242,Atagay,RU,55.1,99.39,72.01,46,58,7.94,Clouds
243,Taksimo,RU,56.34,114.88,67.93,43,4,3.96,Rain
244,Iberia,US,29.95,-91.75,80.6,94,1,6.93,Clear
245,Lagdo,CM,9.05,13.73,71.62,91,99,2.06,Clouds
246,Tomado,PH,7.19,124.61,88.66,62,63,6.58,Rain
247,Vitim,RU,59.45,112.56,69.96,32,0,10.45,Clear
248,Mount Gambier,AU,-37.83,140.77,57.27,63,56,6.2,Clouds
249,Port Augusta,AU,-32.5,137.77,71.6,26,85,11.41,Clouds
250,Kirakira,SB,-10.45,161.92,77.11,89,100,3.15,Rain
251,Kindu,CD,-2.95,25.95,74.35,85,2,1.74,Rain
252,Sisimiut,GL,66.94,-53.67,45.21,81,14,3.15,Clouds
253,Whitehorse,CA,60.72,-135.05,51.8,71,40,12.75,Clouds
254,Bac Lieu,VN,9.29,105.72,89.42,63,9,13.06,Clear
255,Port Hedland,AU,-20.32,118.57,93.2,34,8,10.29,Clear
256,Braganca,BR,-1.05,-46.77,71.49,98,1,1.16,Clear
257,Businga,CD,3.33,20.88,72.34,93,95,0.98,Clouds
258,Saint-Philippe,RE,-21.36,55.77,77.0,53,36,11.41,Clouds
259,Sumbe,AO,-11.21,13.84,70.38,88,61,4.41,Clouds
260,Provideniya,RU,64.38,-173.3,55.4,76,75,6.71,Rain
261,Wanning,CN,18.8,110.4,91.04,64,78,13.29,Rain
262,Eyl,SO,7.98,49.82,84.88,52,82,24.79,Clouds
263,Luderitz,NA,-26.65,15.16,53.98,75,0,6.46,Clear
264,Ponta Do Sol,PT,32.67,-17.1,77.0,50,20,18.34,Clouds
265,Yellowknife,CA,62.46,-114.35,55.4,93,90,5.82,Rain
266,Vardo,NO,70.37,31.11,51.8,76,0,3.36,Clear
267,Richards Bay,ZA,-28.78,32.04,68.31,68,55,21.72,Clouds
268,Zabkowice Slaskie,PL,50.59,16.81,64.0,60,90,4.0,Clouds
269,Pevek,RU,69.7,170.31,35.8,91,100,14.14,Clouds
270,Siloam Springs,US,36.19,-94.54,75.2,78,1,3.36,Clear
271,Hambantota,LK,6.12,81.12,91.4,63,75,10.29,Clouds
272,Yulara,AU,-25.24,130.99,91.4,9,30,14.99,Clouds
273,Baruun-Urt,MN,46.68,113.28,74.64,41,9,7.27,Clear
274,Diu,IN,20.71,70.98,83.62,78,76,16.51,Rain
275,Hami,CN,42.8,93.45,88.61,21,24,17.31,Clouds
276,Mashhad,IR,36.3,59.61,71.6,37,40,9.17,Clouds
277,Akureyri,IS,65.68,-18.09,39.2,93,90,0.69,Clouds
278,Bianzhuang,CN,34.85,118.04,67.98,95,100,18.57,Rain
279,Kimbe,PG,-5.55,150.14,87.13,66,86,5.99,Rain
280,Haines Junction,CA,60.75,-137.51,45.37,79,87,4.52,Clouds
281,Koungheul,SN,13.98,-14.8,76.57,90,97,4.83,Clouds
282,Ukiah,US,39.15,-123.21,71.6,43,1,3.36,Clear
283,Porto Nacional,BR,-10.71,-48.42,73.4,78,40,0.67,Clouds
284,Cockburn Town,TC,21.46,-71.14,83.1,79,2,19.01,Clear
285,Bubaque,GW,11.28,-15.83,80.15,79,99,9.73,Rain
286,Kawerau,NZ,-38.1,176.7,54.0,83,46,3.85,Clouds
287,Del Rio,US,29.36,-100.9,89.6,35,20,6.93,Clouds
288,Mokhsogollokh,RU,61.47,128.92,60.57,39,10,6.85,Clear
289,Kasempa,ZM,-13.46,25.83,68.16,44,6,6.62,Clear
290,Belyy Yar,RU,53.6,91.39,59.0,87,75,4.47,Rain
291,Esso,RU,55.93,158.7,49.55,76,100,6.71,Rain
292,Baft,IR,29.23,56.61,77.4,37,9,5.75,Clear
293,Dicabisagan,PH,17.08,122.42,88.66,65,100,5.73,Rain
294,Narrabri,AU,-30.32,149.78,64.99,27,0,8.05,Clear
295,La Ronge,CA,55.1,-105.28,44.6,100,5,3.51,Clear
296,Bluefield,US,37.27,-81.22,61.0,100,1,6.93,Rain
297,Sakakah,SA,29.97,40.21,84.2,23,0,10.29,Clear
298,Sambava,MG,-14.27,50.17,73.42,83,80,9.8,Rain
299,Makakilo City,US,21.35,-158.09,82.4,58,1,5.82,Clear
300,Saskylakh,RU,71.92,114.08,66.9,42,76,8.86,Clouds
301,Mikhaylovka,RU,50.06,43.24,75.99,37,6,5.01,Clear
302,Kedougou,SN,12.56,-12.17,75.2,94,100,6.93,Rain
303,Mount Isa,AU,-20.73,139.5,86.0,12,0,13.87,Clear
304,Salinopolis,BR,-0.61,-47.36,77.09,84,0,6.53,Clear
305,Stornoway,GB,58.21,-6.39,53.6,71,40,14.99,Clouds
306,Portland,US,45.52,-122.68,66.99,59,1,8.05,Clear
307,Jalu,LY,29.03,21.55,80.42,48,0,6.33,Clear
308,Mechetinskaya,RU,46.77,40.46,72.64,37,2,12.66,Clear
309,Katsuura,JP,35.13,140.3,96.01,66,20,6.93,Clouds
310,Peniche,PT,39.36,-9.38,69.01,92,2,11.01,Clear
311,Goderich,CA,43.75,-81.72,61.0,87,70,8.03,Clouds
312,Mahebourg,MU,-20.41,57.7,71.6,78,75,8.05,Clouds
313,Lai,TD,9.4,16.3,72.82,92,98,1.32,Clouds
314,Port Lincoln,AU,-34.73,135.87,66.25,49,48,12.84,Clouds
315,Anshun,CN,26.25,105.93,80.37,43,0,6.02,Clear
316,Isabela,PH,6.71,121.97,89.6,62,75,4.7,Clouds
317,Mapiripan,CO,2.89,-72.13,71.65,83,85,2.89,Clouds
318,Plainview,US,40.78,-73.47,73.0,71,0,14.32,Clear
319,Batagay-Alyta,RU,67.8,130.41,51.58,44,0,3.29,Clear
320,Aromashevo,RU,56.86,68.64,60.22,86,98,15.97,Clouds
321,Keti Bandar,PK,24.14,67.45,86.5,72,27,17.65,Rain
322,Fremont,US,37.55,-121.99,66.0,77,1,8.05,Smoke
323,Cuamba,MZ,-14.8,36.54,74.64,54,22,6.85,Clouds
324,Gizo,SB,-8.1,156.84,84.43,74,32,13.47,Rain
325,Laguna,US,38.42,-121.42,72.0,60,1,6.93,Clear
326,Baishishan,CN,43.58,127.57,78.71,69,100,3.4,Clouds
327,Acapulco,MX,16.86,-99.89,77.47,89,99,9.64,Rain
328,Machiques,VE,10.06,-72.55,76.12,80,99,4.79,Rain
329,Charters Towers,AU,-20.1,146.27,79.45,21,1,12.12,Clear
330,Borazjan,IR,29.27,51.22,93.2,44,0,4.7,Clear
331,Progreso,MX,21.28,-89.67,81.0,90,99,9.1,Clouds
332,Tiksi,RU,71.69,128.87,42.96,68,22,7.61,Clouds
333,Leshukonskoye,RU,64.9,45.76,58.66,59,11,4.43,Clouds
334,Kungurtug,RU,50.6,97.52,58.05,67,51,9.98,Rain
335,Antofagasta,CL,-23.65,-70.4,55.4,87,0,14.99,Clear
336,Moose Factory,CA,51.26,-80.61,46.4,93,90,5.82,Clouds
337,Beberibe,BR,-4.18,-38.13,77.0,88,40,11.41,Clouds
338,Almeirim,BR,-1.52,-52.58,74.7,81,1,3.18,Clear
339,Yumen,CN,40.28,97.2,94.95,10,0,13.0,Clear
340,Vila,PT,42.03,-8.16,59.0,92,1,3.33,Clear
341,Te Anau,NZ,-45.42,167.72,41.05,90,100,5.99,Rain
342,Pangnirtung,CA,66.15,-65.71,43.79,82,97,2.04,Clouds
343,Souillac,MU,-20.52,57.52,71.6,78,75,8.05,Clouds
344,Granville,AU,-33.83,151.02,68.0,48,0,13.87,Clear
345,Ballina,AU,-28.87,153.57,64.4,59,19,13.87,Clouds
346,Sitio Novo Do Tocantins,BR,-5.52,-47.46,75.76,61,39,3.27,Clouds
347,Rawson,AR,-43.3,-65.1,45.68,86,100,6.55,Clouds
348,Amahai,ID,-3.33,128.92,80.67,73,45,14.29,Rain
349,Viedma,AR,-40.81,-63.0,48.99,96,100,5.01,Clouds
350,Townsville,AU,-19.25,146.8,75.2,57,40,18.34,Clouds
351,Kastamonu,TR,41.5,33.67,72.12,43,0,2.08,Clear
352,Juneau,US,58.3,-134.42,54.0,93,90,10.29,Rain
353,Husavik,IS,66.04,-17.34,39.2,93,90,0.58,Clouds
354,Aban,RU,56.67,96.06,69.46,53,100,7.07,Clouds
355,Cabedelo,BR,-6.98,-34.83,71.6,94,75,5.82,Clouds
356,Cassano Delle Murge,IT,40.89,16.77,75.0,60,0,4.7,Clear
357,Fortuna Foothills,US,32.66,-114.41,98.01,50,20,9.17,Clouds
358,Vaitape,PF,-16.52,-151.75,77.02,82,65,17.45,Clouds
359,Vostok,RU,46.49,135.88,77.45,56,92,3.58,Clouds
360,Hasaki,JP,35.73,140.83,96.01,66,40,8.05,Clouds
361,Vorsma,RU,55.99,43.27,68.0,77,90,6.71,Clouds
362,Deer Lake,CA,49.17,-57.43,57.2,100,90,3.36,Rain
363,Hargeysa,SO,9.56,44.06,75.4,52,25,27.89,Clouds
364,Asau,RO,46.43,26.4,64.4,93,93,1.12,Clouds
365,Koumac,NC,-20.57,164.28,70.45,71,36,17.54,Clouds
366,Coolum Beach,AU,-26.53,153.1,66.99,65,32,4.0,Clouds
367,Bowen,AU,-20.02,148.23,73.4,56,4,17.22,Clear
368,Fuerte Olimpo,PY,-21.04,-57.87,74.05,54,0,6.76,Clear
369,Mochumi,PE,-6.55,-79.86,55.99,88,6,6.98,Clear
370,Sechura,PE,-5.56,-80.82,60.44,83,1,11.77,Clear
371,Marsa Matruh,EG,31.35,27.25,75.2,78,20,5.82,Clouds
372,Lavrentiya,RU,65.58,-171.0,48.27,82,87,6.11,Clouds
373,Wonthaggi,AU,-38.6,145.59,57.99,63,36,10.51,Clouds
374,Okha,RU,53.57,142.95,58.48,81,94,21.54,Clouds
375,Vega De Alatorre,MX,20.03,-96.63,77.65,80,100,12.93,Rain
376,Bagdarin,RU,54.43,113.6,62.06,55,10,5.57,Clear
377,Colac,AU,-38.33,143.58,53.01,75,38,1.01,Clouds
378,Gerash,IR,27.67,54.14,86.0,70,47,13.87,Clouds
379,Praia Da Vitoria,PT,38.73,-27.07,77.0,73,40,18.28,Clouds
380,Dhidhdhoo,MV,6.88,73.1,82.6,75,100,15.03,Clouds
381,Sazonovo,RU,59.09,35.23,55.92,98,100,1.74,Rain
382,Guerrero Negro,MX,27.98,-114.06,72.16,86,8,10.58,Clear
383,Bengkulu,ID,-3.8,102.27,88.66,52,37,11.54,Clouds
384,Oyama,JP,36.3,139.8,98.01,62,20,9.17,Clouds
385,Vila Velha,BR,-20.33,-40.29,66.99,59,45,13.87,Clouds
386,Gigmoto,PH,13.78,124.39,89.94,63,96,7.49,Clouds
387,Karratha,AU,-20.74,116.85,90.01,21,24,7.31,Clouds
388,Caravelas,BR,-17.71,-39.25,66.54,76,8,11.25,Clear
389,Mackay,AU,-21.15,149.2,73.0,64,0,16.11,Clear
390,Devonport,AU,-41.17,146.35,55.99,50,92,5.99,Clouds
391,Seguela,CI,7.96,-6.67,67.68,99,76,3.22,Clouds
392,Cordoba,AR,-31.41,-64.18,64.0,55,20,8.05,Clouds
393,Ossora,RU,59.24,163.07,52.5,55,68,11.16,Clouds
394,Xuddur,SO,4.12,43.89,79.12,58,54,18.25,Clouds
395,Meru,KE,0.05,37.66,66.99,55,35,7.74,Clouds
396,Port Macquarie,AU,-31.43,152.92,64.99,56,0,1.99,Clear
397,Svetlogorsk,BY,52.63,29.73,58.91,87,23,7.63,Clouds
398,Quatre Cocos,MU,-20.21,57.76,75.0,78,75,8.05,Clouds
399,Lokoja,NG,7.8,6.74,72.27,93,100,0.81,Clouds
400,Tadine,NC,-21.55,167.88,68.32,71,3,15.61,Clear
401,Mago,RU,53.25,140.18,65.68,66,91,8.97,Clouds
402,Tual,ID,-5.67,132.75,80.31,78,63,14.29,Clouds
403,Taybad,IR,34.74,60.78,75.85,26,0,27.58,Clear
404,Tateyama,JP,34.98,139.87,91.99,78,75,10.29,Clouds
